seqnames,start,end,group
chr10,74209,74223,COAD
chr10,76667,76681,COAD
chr10,82445,82459,COAD
chr10,88396,88410,COAD
chr10,88435,88449,COAD
chr10,92157,92171,COAD
chr10,105557,105571,COAD
chr10,112525,112539,COAD
chr10,115927,115941,COAD
chr10,132510,132524,COAD
chr10,297312,297326,COAD
chr10,308652,308666,COAD
chr10,327638,327652,COAD
chr10,329556,329570,COAD
chr10,338780,338794,COAD
chr10,388438,388452,COAD
chr10,436614,436628,COAD
chr10,437261,437278,COAD
chr10,437316,437330,COAD
chr10,437431,437448,COAD
chr10,455146,455160,COAD
chr10,470776,470790,COAD
chr10,475809,475823,COAD
chr10,511187,511211,COAD
chr10,541827,541841,COAD
chr10,542113,542127,COAD
chr10,575649,575663,COAD
chr10,628709,628723,COAD
chr10,639897,639911,COAD
chr10,640174,640188,COAD
chr10,652203,652217,COAD
chr10,661279,661293,COAD
chr10,661513,661527,COAD
chr10,683546,683560,COAD
chr10,683771,683785,COAD
chr10,689661,689681,COAD
chr10,728682,728696,COAD
chr10,728736,728750,COAD
chr10,729394,729408,COAD
chr10,775699,775713,COAD
chr10,785157,785171,COAD
chr10,788969,788983,COAD
chr10,789164,789178,COAD
chr10,789492,789506,COAD
chr10,789600,789614,COAD
chr10,794889,794906,COAD
chr10,803708,803722,COAD
chr10,805421,805435,COAD
chr10,807841,807855,COAD
chr10,808533,808547,COAD
chr10,810456,810470,COAD
chr10,846523,846537,COAD
chr10,846771,846785,COAD
chr10,876581,876595,COAD
chr10,924830,924844,COAD
chr10,1037084,1037098,COAD
chr10,1049192,1049206,COAD
chr10,1074587,1074607,COAD
chr10,1110257,1110271,COAD
chr10,1169423,1169437,COAD
chr10,1169731,1169749,COAD
chr10,1325639,1325653,COAD
chr10,1369021,1369054,COAD
chr10,1421043,1421057,COAD
chr10,1421128,1421146,COAD
chr10,1455253,1455267,COAD
chr10,1467652,1467666,COAD
chr10,1643549,1643563,COAD
chr10,1715912,1715926,COAD
chr10,1939352,1939366,COAD
chr10,2137675,2137689,COAD
chr10,2137707,2137721,COAD
chr10,2839279,2839296,COAD
chr10,2920980,2920997,COAD
chr10,2928436,2928450,COAD
chr10,2978289,2978303,COAD
chr10,2984971,2984985,COAD
chr10,2985789,2985803,COAD
chr10,2989692,2989709,COAD
chr10,2991536,2991550,COAD
chr10,3043727,3043741,COAD
chr10,3058108,3058122,COAD
chr10,3065727,3065741,COAD
chr10,3066552,3066566,COAD
chr10,3066597,3066611,COAD
chr10,3066658,3066684,COAD
chr10,3067285,3067302,COAD
chr10,3067394,3067408,COAD
chr10,3068845,3068859,COAD
chr10,3069015,3069036,COAD
chr10,3069171,3069185,COAD
chr10,3074429,3074443,COAD
chr10,3077042,3077056,COAD
chr10,3078425,3078439,COAD
chr10,3096330,3096344,COAD
chr10,3104804,3104818,COAD
chr10,3118910,3118926,COAD
chr10,3120258,3120272,COAD
chr10,3124608,3124622,COAD
chr10,3127259,3127273,COAD
chr10,3128634,3128648,COAD
chr10,3128763,3128777,COAD
chr10,3128926,3128943,COAD
chr10,3131537,3131554,COAD
chr10,3132787,3132801,COAD
chr10,3148453,3148467,COAD
chr10,3149252,3149266,COAD
chr10,3162805,3162823,COAD
chr10,3170705,3170719,COAD
chr10,3172663,3172677,COAD
chr10,3173322,3173336,COAD
chr10,3193025,3193042,COAD
chr10,3197529,3197543,COAD
chr10,3237814,3237828,COAD
chr10,3237878,3237892,COAD
chr10,3239780,3239808,COAD
chr10,3287851,3287865,COAD
chr10,3288125,3288139,COAD
chr10,3289914,3289928,COAD
chr10,3289955,3289975,COAD
chr10,3290166,3290180,COAD
chr10,3290190,3290204,COAD
chr10,3295078,3295095,COAD
chr10,3423582,3423596,COAD
chr10,3428174,3428188,COAD
chr10,3428267,3428281,COAD
chr10,3464902,3464916,COAD
chr10,3468279,3468293,COAD
chr10,3469506,3469520,COAD
chr10,3471766,3471780,COAD
chr10,3473616,3473636,COAD
chr10,3474040,3474054,COAD
chr10,3474501,3474515,COAD
chr10,3483875,3483889,COAD
chr10,3598647,3598661,COAD
chr10,3655827,3655841,COAD
chr10,3668573,3668595,COAD
chr10,3683236,3683250,COAD
chr10,3720735,3720749,COAD
chr10,3720982,3720996,COAD
chr10,3765316,3765330,COAD
chr10,3778023,3778037,COAD
chr10,3780271,3780285,COAD
chr10,3781596,3781624,COAD
chr10,3782050,3782064,COAD
chr10,3784875,3784889,COAD
chr10,3785411,3785428,COAD
chr10,3787940,3787957,COAD
chr10,3803621,3803635,COAD
chr10,3806109,3806123,COAD
chr10,3806170,3806184,COAD
chr10,3808365,3808379,COAD
chr10,3812287,3812314,COAD
chr10,3820869,3820886,COAD
chr10,3822208,3822222,COAD
chr10,3835848,3835862,COAD
chr10,3853237,3853251,COAD
chr10,3869263,3869277,COAD
chr10,3872583,3872597,COAD
chr10,3890888,3890902,COAD
chr10,3895337,3895351,COAD
chr10,3902496,3902510,COAD
chr10,3902690,3902704,COAD
chr10,3907473,3907487,COAD
chr10,3927103,3927117,COAD
chr10,3928974,3928988,COAD
chr10,3929182,3929196,COAD
chr10,3929696,3929710,COAD
chr10,3943043,3943057,COAD
chr10,3943703,3943717,COAD
chr10,3962153,3962167,COAD
chr10,4034256,4034270,COAD
chr10,4061461,4061475,COAD
chr10,4063249,4063263,COAD
chr10,4069552,4069566,COAD
chr10,4128261,4128275,COAD
chr10,4145055,4145069,COAD
chr10,4148917,4148931,COAD
chr10,4174370,4174384,COAD
chr10,4205268,4205282,COAD
chr10,4216370,4216384,COAD
chr10,4227244,4227258,COAD
chr10,4260214,4260228,COAD
chr10,4260235,4260249,COAD
chr10,4267423,4267437,COAD
chr10,4281544,4281558,COAD
chr10,4355466,4355480,COAD
chr10,4391855,4391869,COAD
chr10,4541311,4541325,COAD
chr10,4632962,4632976,COAD
chr10,4656769,4656783,COAD
chr10,4676739,4676753,COAD
chr10,4704309,4704323,COAD
chr10,4708584,4708598,COAD
chr10,4733715,4733729,COAD
chr10,4767231,4767245,COAD
chr10,4815440,4815454,COAD
chr10,4815550,4815564,COAD
chr10,4815660,4815674,COAD
chr10,4849820,4849837,COAD
chr10,4963519,4963533,COAD
chr10,4982265,4982279,COAD
chr10,5015168,5015182,COAD
chr10,5019079,5019093,COAD
chr10,5020973,5020987,COAD
chr10,5025706,5025720,COAD
chr10,5043982,5043996,COAD
chr10,5048727,5048741,COAD
chr10,5054094,5054108,COAD
chr10,5069896,5069910,COAD
chr10,5070281,5070295,COAD
chr10,5074923,5074937,COAD
chr10,5090046,5090060,COAD
chr10,5094818,5094832,COAD
chr10,5094994,5095008,COAD
chr10,5159418,5159432,COAD
chr10,5169112,5169126,COAD
chr10,5169327,5169341,COAD
chr10,5187499,5187513,COAD
chr10,5222562,5222576,COAD
chr10,5222676,5222690,COAD
chr10,5223214,5223241,COAD
chr10,5261756,5261787,COAD
chr10,5268397,5268411,COAD
chr10,5283679,5283696,COAD
chr10,5292592,5292606,COAD
chr10,5360703,5360717,COAD
chr10,5365333,5365350,COAD
chr10,5384198,5384212,COAD
chr10,5404874,5404888,COAD
chr10,5412562,5412576,COAD
