seqnames,start,end
chr10,74209,74223
chr10,76667,76681
chr10,112525,112539
chr10,132510,132524
chr10,297312,297326
chr10,436614,436628
chr10,437261,437278
chr10,437316,437330
chr10,437434,437448
chr10,470776,470790
chr10,475809,475823
chr10,511187,511201
chr10,661279,661293
chr10,661513,661527
chr10,789492,789506
chr10,789600,789614
chr10,794889,794906
chr10,805421,805435
chr10,810456,810470
chr10,1049192,1049206
chr10,1110257,1110271
chr10,1369030,1369045
chr10,1421043,1421057
chr10,1455253,1455267
chr10,1715912,1715926
chr10,2839279,2839296
chr10,2920980,2920994
chr10,2928436,2928450
chr10,2978289,2978303
chr10,2984971,2984985
chr10,2985789,2985803
chr10,3043727,3043741
chr10,3066552,3066566
chr10,3066658,3066672
chr10,3069015,3069029
chr10,3069171,3069185
chr10,3074429,3074443
chr10,3078425,3078439
chr10,3104804,3104818
chr10,3193025,3193042
chr10,3197529,3197543
chr10,3239780,3239808
chr10,3288125,3288139
chr10,3464902,3464916
chr10,3474501,3474515
chr10,3778023,3778037
chr10,3781596,3781624
chr10,3808365,3808379
chr10,3812287,3812301
chr10,3895337,3895351
chr10,3907473,3907485
chr10,3929696,3929710
chr10,4656769,4656783
chr10,4704309,4704323
chr10,4708584,4708598
chr10,4767231,4767245
chr10,4815440,4815454
chr10,4815550,4815564
chr10,4815660,4815674
chr10,4849820,4849837
chr10,4982265,4982279
chr10,5015168,5015182
chr10,5020973,5020987
chr10,5043982,5043996
chr10,5090046,5090060
chr10,5094818,5094832
chr10,5094994,5095008
chr10,5283679,5283696
chr10,5292592,5292606
chr10,5360703,5360717
chr10,5384198,5384212
chr10,5434193,5434207
chr10,5446535,5446552
chr10,5446564,5446578
chr10,5486951,5486965
chr10,5490898,5490912
chr10,5494698,5494712
chr10,5498872,5498886
chr10,5507553,5507567
chr10,5515547,5515565
chr10,5534573,5534587
chr10,5538793,5538807
chr10,5545960,5545974
chr10,5547513,5547527
chr10,5587368,5587382
chr10,5608643,5608657
chr10,5610008,5610022
chr10,5610126,5610140
chr10,5613502,5613516
chr10,5623268,5623282
chr10,5623319,5623333
chr10,5626490,5626504
chr10,5630017,5630035
chr10,5646210,5646224
chr10,5663320,5663334
chr10,5666613,5666627
chr10,5666699,5666713
chr10,5749309,5749323
chr10,5764613,5764627
chr10,5873629,5873643
chr10,5942537,5942551
chr10,5943492,5943506
chr10,5949556,5949570
chr10,5962668,5962682
chr10,5962758,5962772
chr10,5965067,5965081
chr10,5999615,5999629
chr10,6014335,6014349
chr10,6086575,6086589
chr10,6088809,6088826
chr10,6109104,6109118
chr10,6120032,6120046
chr10,6140717,6140731
chr10,6151586,6151600
chr10,6163695,6163719
chr10,6256575,6256589
chr10,6279551,6279565
chr10,6279718,6279732
chr10,6401989,6402003
chr10,6580350,6580378
chr10,6786631,6786645
chr10,6786709,6786723
chr10,6920174,6920188
chr10,7130611,7130625
chr10,7130755,7130769
chr10,7525592,7525606
chr10,7687475,7687489
chr10,7756582,7756596
